Posição,Distrito,População 2010
1,Grajaú,360.787
2,Jardim Ângela,295.434
3,Sapopemba,284.524
4,Capão Redondo,268.729
5,Jardim São Luís,267.871
6,Cidade Ademar,266.681
7,Brasilândia,264.918
8,Sacomã,247.851
9,Itaim Paulista,224.074
10,Jabaquara,223.780
11,Cidade Tiradentes,211.501
12,Campo Limpo,211.361
13,Itaquera,204.871
14,Tremembé,197.258
15,Cidade Dutra,196.360
16,Jaraguá,184.818
17,Lajeado,165.512
18,Pirituba,167.931
19,São Mateus,155.140
20,Vila Curuçá,149.053
21,Pedreira,144.317
22,São Rafael,143.992
23,Cachoeirinha,143.523
24,Vila Jacuí,142.372
25,São Lucas,142.347
26,Freguesia do Ó,142.327
27,Cangaíba,136.623
28,Jardim Helena,135.043
29,Parelheiros,131.183
30,Saúde,130.780
31,Vila Mariana,130.484
32,Vila Medeiros,129.919
33,Penha,127.820
34,Iguatemi,127.662
35,Vila Andrade,127.015
36,Cidade Líder,126.597
37,José Bonifácio,124.122
38,Santana,118.797
39,Rio Pequeno,118.459
40,Ermelino Matarazzo,113.615
41,Vila Maria,113.463
42,Perdizes,111.161
43,Cursino,109.088
44,Vila Sônia,108.441
45,Mandaqui,107.580
46,Ipiranga,106.865
47,Artur Alvim,105.269
48,Vila Matilde,104.947
49,Vila Prudente,104.242
50,Guaianases,103.996
51,Campo Grande,100.713
52,Raposo Tavares,100.164
53,Tucuruvi,98.438
54,Vila Formosa,94.799
55,Jaçanã,94.609
56,Ponte Rasa,93.894
57,Itaim Bibi,92.570
58,São Miguel Paulista,92.081
59,Tatuapé,91.672
60,Aricanduva,89.622
61,Jardim Paulista,88.692
62,Casa Verde,85.624
63,Água Rasa,84.963
64,São Domingos,84.843
65,Santa Cecília,83.717
66,Moema,83.368
67,Carrão,83.281
68,Limão,80.229
69,Perus,80.187
70,Santo Amaro,71.560
71,Bela Vista,69.460
72,Liberdade,69.092
73,Parque do Carmo,68.258
74,Anhanguera,65.859
75,Lapa,65.739
76,Pinheiros,65.364
77,Mooca,63.133
78,Campo Belo,62.530
79,Consolação,57.365
80,Vila Guilherme,54.331
81,Butantã,54.196
82,República,56.981
83,Jaguaré,49.863
84,Morumbi,46.957
85,Belém,45.057
86,Alto de Pinheiros,43.117
87,Vila Leopoldina,39.485
88,Socorro,37.783
89,Cambuci,36.948
90,Bom Retiro,33.892
91,Brás,29.265
92,Jaguara,24.895
93,Sé,23.651
94,Pari,17.299
95,Barra Funda,14.383
96,Marsilac,8.258
